y1,x1,wave_ht,tuning_factor
19.9662,-155.943,0.55,0.186185
19.9621,-155.943,0.75,0.0736003
19.968,-155.939,0.65,0.243223
19.968,-155.943,0.55,0.153499
19.968,-155.935,0.55,0.260311
19.9605,-155.943,0.65,0.651438
19.966,-155.933,0.55,0.203761
19.9632,-155.943,0.6,0.63268
19.9589,-155.938,0.55,1.41244
19.9659,-155.943,0.55,0.0906296
19.9681,-155.936,0.6,1.64038
19.9604,-155.943,0.7,0.107803
19.9679,-155.94,0.6,0.0861333
19.9653,-155.933,0.5,0.316475
19.9589,-155.935,0.5,1.30022
19.9603,-155.943,0.6,0.0859107
19.9679,-155.94,0.7,0.0911948
19.964,-155.933,0.7,0.0884126
19.9665,-155.933,0.85,0.116925
19.959,-155.937,0.85,0.988856
19.9679,-155.939,0.7,0.0956517
19.9589,-155.941,0.6,0.0638391
19.9672,-155.933,0.6,0.183804
19.9627,-155.943,0.65,0.103897
19.959,-155.936,0.6,0.266894
19.968,-155.936,0.55,1.1247
19.9626,-155.933,0.6,0.341393
19.9668,-155.943,0.7,1.40319
19.968,-155.935,0.65,0.605857
19.9679,-155.939,0.75,0.0716433
19.9636,-155.933,0.65,0.253151
19.968,-155.942,0.75,0.219611
19.9638,-155.933,0.55,0.951322
19.9669,-155.933,0.8,0.167106
19.9681,-155.941,0.8,0.241857
19.9657,-155.933,0.75,0.926542
19.9673,-155.933,0.6,0.884166
19.968,-155.941,0.65,0.169361
19.9653,-155.933,0.65,0.500083
19.959,-155.937,0.7,1.3165
19.9679,-155.935,0.65,0.0544654
19.9617,-155.934,0.6,0.249579
19.9663,-155.933,0.65,0.14806
19.9616,-155.943,0.65,0.0816182
19.9643,-155.933,0.55,0.233516
19.959,-155.938,0.55,0.17137
19.9681,-155.937,0.65,0.0732131
19.9599,-155.943,0.6,1.43763
19.968,-155.936,0.6,0.0780331
19.9681,-155.941,0.55,0.443686
19.968,-155.934,0.55,0.110001
19.968,-155.938,0.65,0.0768
19.9631,-155.933,0.6,0.843103
19.9659,-155.933,0.5,11.2872
19.959,-155.935,0.6,0.997986
19.9635,-155.933,0.7,0.0802729
19.9614,-155.933,0.8,0.446201
19.959,-155.937,0.75,0.531703
19.9668,-155.933,0.8,0.0832029
19.9679,-155.939,0.75,0.0840477
19.959,-155.939,0.8,0.0892991
19.9619,-155.943,0.8,2.26024
19.968,-155.938,0.7,0.975128
